x,y,s,s_norm,track_yaw_rad,kappa,w_l,w_r,n_x,n_y
6.7297,-0.4323,6.8334,0.2802,-0.5162,-0.2978,1.2250,0.6950,0.4936,0.8697
6.7735,-0.4576,6.8840,0.2822,-0.5312,-0.3066,1.2650,0.6650,0.5065,0.8622
6.8169,-0.4835,6.9345,0.2843,-0.5465,-0.3155,1.2950,0.6450,0.5197,0.8543
6.8598,-0.5100,6.9850,0.2864,-0.5622,-0.3246,1.2950,0.6150,0.5331,0.8461
6.9022,-0.5372,7.0353,0.2884,-0.5783,-0.3335,1.3350,0.5950,0.5466,0.8374
6.9440,-0.5650,7.0856,0.2905,-0.5947,-0.3422,1.3250,0.5650,0.5603,0.8283
6.9854,-0.5935,7.1358,0.2926,-0.6116,-0.3505,1.3150,0.5650,0.5742,0.8187
7.0262,-0.6226,7.1859,0.2946,-0.6288,-0.3584,1.3650,0.5750,0.5882,0.8087
7.0664,-0.6524,7.2359,0.2967,-0.6464,-0.3658,1.3650,0.5450,0.6024,0.7982
7.1060,-0.6829,7.2859,0.2987,-0.6645,-0.3724,1.3550,0.5050,0.6167,0.7872
7.1449,-0.7140,7.3357,0.3007,-0.6830,-0.3784,1.4150,0.5250,0.6311,0.7757
7.1832,-0.7457,7.3855,0.3028,-0.7019,-0.3835,1.3950,0.5050,0.6456,0.7636
7.2209,-0.7782,7.4352,0.3048,-0.7212,-0.3877,1.4150,0.4750,0.6603,0.7510
7.2578,-0.8113,7.4848,0.3069,-0.7409,-0.3910,1.4150,0.5050,0.6750,0.7378
7.2941,-0.8452,7.5344,0.3089,-0.7611,-0.3933,1.4250,0.4750,0.6897,0.7241
7.3295,-0.8797,7.5839,0.3109,-0.7817,-0.3946,1.4250,0.5050,0.7045,0.7097
7.3643,-0.9149,7.6334,0.3130,-0.8028,-0.3949,1.4150,0.4850,0.7193,0.6947
7.3982,-0.9508,7.6828,0.3150,-0.8240,-0.3940,1.4150,0.4950,0.7339,0.6793
7.4314,-0.9874,7.7322,0.3170,-0.8448,-0.3921,1.4050,0.4850,0.7478,0.6639
7.4638,-1.0246,7.7815,0.3190,-0.8651,-0.3891,1.4050,0.4850,0.7612,0.6486
7.4955,-1.0625,7.8309,0.3211,-0.8849,-0.3851,1.4250,0.4950,0.7739,0.6334
7.5264,-1.1011,7.8803,0.3231,-0.9042,-0.3800,1.4350,0.4650,0.7859,0.6183
7.5566,-1.1402,7.9298,0.3251,-0.9230,-0.3740,1.4550,0.4850,0.7974,0.6034
7.5861,-1.1800,7.9793,0.3271,-0.9413,-0.3670,1.4150,0.4550,0.8083,0.5887
7.6149,-1.2203,8.0288,0.3292,-0.9591,-0.3591,1.4250,0.4850,0.8187,0.5742
7.6430,-1.2611,8.0784,0.3312,-0.9764,-0.3504,1.4350,0.4950,0.8285,0.5600
7.6705,-1.3025,8.1281,0.3332,-0.9932,-0.3409,1.4450,0.4850,0.8378,0.5460
7.6973,-1.3445,8.1779,0.3353,-1.0094,-0.3305,1.4050,0.4650,0.8465,0.5324
7.7235,-1.3869,8.2278,0.3373,-1.0252,-0.3189,1.3950,0.4750,0.8548,0.5190
7.7491,-1.4298,8.2777,0.3394,-1.0404,-0.3063,1.4250,0.5050,0.8626,0.5059
7.7741,-1.4731,8.3277,0.3414,-1.0551,-0.2931,1.3850,0.4650,0.8700,0.4931
7.7985,-1.5169,8.3779,0.3435,-1.0693,-0.2795,1.4050,0.4950,0.8769,0.4807
7.8224,-1.5611,8.4281,0.3455,-1.0831,-0.2659,1.3950,0.4850,0.8834,0.4686
7.8457,-1.6057,8.4784,0.3476,-1.0963,-0.2526,1.3950,0.4850,0.8895,0.4569
7.8684,-1.6507,8.5288,0.3497,-1.1091,-0.2398,1.4150,0.5050,0.8953,0.4455
7.8906,-1.6960,8.5793,0.3517,-1.1213,-0.2278,1.3750,0.4650,0.9007,0.4345
7.9123,-1.7417,8.6299,0.3538,-1.1331,-0.2170,1.4050,0.4750,0.9057,0.4238
7.9335,-1.7877,8.6806,0.3559,-1.1445,-0.2076,1.4050,0.4550,0.9105,0.4135
7.9543,-1.8341,8.7313,0.3580,-1.1554,-0.1993,1.3950,0.4750,0.9149,0.4036
7.9745,-1.8807,8.7821,0.3600,-1.1658,-0.1921,1.4250,0.4950,0.9191,0.3940
7.9943,-1.9275,8.8330,0.3621,-1.1758,-0.1861,1.3950,0.5150,0.9230,0.3848
8.0137,-1.9747,8.8840,0.3642,-1.1853,-0.1814,1.3750,0.5350,0.9266,0.3760
8.0327,-2.0220,8.9350,0.3663,-1.1944,-0.1781,1.3950,0.5550,0.9300,0.3675
8.0512,-2.0696,8.9860,0.3684,-1.2031,-0.1762,1.3750,0.5150,0.9332,0.3594
8.0694,-2.1173,9.0371,0.3705,-1.2114,-0.1758,1.3450,0.5350,0.9361,0.3517
8.0872,-2.1652,9.0882,0.3726,-1.2193,-0.1770,1.3250,0.5550,0.9388,0.3443
8.1046,-2.2133,9.1394,0.3747,-1.2267,-0.1797,1.3050,0.5650,0.9414,0.3373
8.1217,-2.2615,9.1905,0.3768,-1.2339,-0.1841,1.2850,0.5850,0.9438,0.3306
8.1384,-2.3098,9.2416,0.3789,-1.2417,-0.1902,1.2650,0.6050,0.9463,0.3232
8.1547,-2.3583,9.2927,0.3810,-1.2502,-0.1979,1.2350,0.5850,0.9491,0.3151
8.1706,-2.4068,9.3438,0.3831,-1.2597,-0.2074,1.2150,0.5750,0.9520,0.3061
8.1860,-2.4554,9.3948,0.3852,-1.2700,-0.2185,1.1950,0.5950,0.9551,0.2963
8.2008,-2.5042,9.4457,0.3873,-1.2811,-0.2313,1.1750,0.6050,0.9583,0.2857
8.2150,-2.5529,9.4965,0.3893,-1.2931,-0.2457,1.1650,0.6150,0.9617,0.2741
8.2286,-2.6018,9.5473,0.3914,-1.3060,-0.2616,1.1450,0.6350,0.9652,0.2617
8.2415,-2.6507,9.5978,0.3935,-1.3199,-0.2791,1.1250,0.6450,0.9687,0.2483
8.2537,-2.6997,9.6483,0.3956,-1.3346,-0.2980,1.1050,0.6550,0.9722,0.2340
8.2651,-2.7487,9.6986,0.3976,-1.3503,-0.3181,1.0950,0.6650,0.9758,0.2187
8.2756,-2.7978,9.7488,0.3997,-1.3670,-0.3398,1.0750,0.6650,0.9793,0.2024
8.2853,-2.8468,9.7988,0.4017,-1.3847,-0.3624,1.0650,0.6750,0.9827,0.1850
8.2941,-2.8959,9.8487,0.4038,-1.4034,-0.3855,1.0550,0.6850,0.9860,0.1666
8.3019,-2.9450,9.8984,0.4058,-1.4231,-0.4087,1.0350,0.6850,0.9891,0.1472
8.3087,-2.9941,9.9480,0.4078,-1.4438,-0.4317,1.0850,0.6950,0.9919,0.1267
8.3144,-3.0432,9.9974,0.4099,-1.4655,-0.4541,1.0750,0.6950,0.9945,0.1051
8.3191,-3.0923,10.0467,0.4119,-1.4883,-0.4756,1.0650,0.7050,0.9966,0.0824
8.3225,-3.1413,10.0959,0.4139,-1.5122,-0.4965,1.0550,0.7050,0.9983,0.0586
8.3248,-3.1904,10.1450,0.4159,-1.5371,-0.5164,1.0550,0.7050,0.9994,0.0337
8.3258,-3.2393,10.1939,0.4179,-1.5630,-0.5350,1.0550,0.7050,1.0000,0.0078
8.3255,-3.2883,10.2429,0.4199,-1.5900,-0.5525,1.0550,0.7050,0.9998,-0.0192
8.3239,-3.3371,10.2918,0.4219,-1.6179,-0.5692,1.0550,0.7050,0.9989,-0.0471
8.3209,-3.3860,10.3407,0.4239,-1.6469,-0.5850,1.0650,0.7050,0.9971,-0.0760
8.3165,-3.4347,10.3896,0.4260,-1.6767,-0.5999,1.0650,0.7050,0.9944,-0.1057
